record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags
2,467,1757714343942,1757714344995,-618,9743,-2316,31
2,468,1757714344109,1757714345143,-607,9726,-2329,31
2,469,1757714344275,1757714345291,-617,9724,-2310,31
2,470,1757714344442,1757714345439,-623,9733,-2348,31
2,471,1757714344609,1757714345651,-617,9737,-2307,31
2,472,1757714344775,1757714345857,-633,9739,-2359,31
2,473,1757714344942,1757714346006,-625,9733,-2326,31
2,474,1757714345109,1757714346207,-610,9753,-2272,31
2,475,1757714345275,1757714346315,-601,9717,-2305,31
2,476,1757714345442,1757714346464,-634,9740,-2332,31
2,477,1757714345609,1757714346668,-626,9729,-2296,31
2,478,1757714345775,1757714346869,-609,9747,-2325,31
2,479,1757714345942,1757714347019,-600,9754,-2324,31
2,480,1757714346109,1757714347227,-609,9741,-2334,31
2,481,1757714346275,1757714347325,-605,9742,-2354,31
2,482,1757714346442,1757714347474,-587,9742,-2353,31
2,483,1757714346609,1757714347685,-619,9719,-2352,31
2,484,1757714346775,1757714347894,-599,9743,-2339,31
2,485,1757714346942,1757714348043,-621,9743,-2308,31
2,486,1757714347109,1757714348241,-615,9739,-2352,31
2,487,1757714347275,1757714348339,-605,9749,-2378,31
2,488,1757714347442,1757714348488,-604,9726,-2386,31
2,489,1757714347609,1757714348702,-622,9708,-2400,31
2,490,1757714347775,1757714348901,-604,9738,-2396,31
